id,word,language
1,amor,es
2,arbol,es
3,amigo,es
4,barco,es
5,casa,es
6,coche,es
7,comida,es
8,corazon,es
9,dado,es
10,dia,es
11,diente,es
12,elefante,es
13,escuela,es
14,familia,es
15,flor,es
16,fuego,es
17,gato,es
18,guitarra,es
19,hombre,es
20,idea,es
21,isla,es
22,jardin,es
23,juego,es
24,leche,es
25,luna,es
26,mano,es
27,mar,es
28,mesa,es
29,mujer,es
30,mundo,es
31,nino,es
32,nube,es
33,ojo,es
34,pan,es
35,perro,es
36,piedra,es
37,planta,es
38,puerta,es
39,queso,es
40,rio,es
41,sol,es
42,taza,es
43,techo,es
44,tierra,es
45,uva,es
46,viento,es
47,zapato,es
48,zanahoria,es
49,estrella,es
50,cielo,es
